m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,256,23,1,12,1,3,1,6621,255,27669,510,27669,255,107,1,765,255,3,1,28582
64,32,256,23,1,12,1,3,1,6621,255,27669,510,27669,255,107,1,765,255,3,1,28582
64,32,256,23,1,12,1,3,1,6621,255,19509,510,19509,255,75,1,765,255,3,1,20390
64,32,256,23,1,12,1,3,1,6621,255,43989,510,43989,255,171,1,765,255,3,1,44966
64,32,256,23,1,12,1,3,1,6621,255,35319,510,35319,255,137,1,765,255,3,1,36262
64,32,256,23,1,12,1,3,1,6621,255,27159,510,27159,255,105,1,765,255,3,1,28070
64,32,256,23,1,12,1,3,1,6621,255,23589,510,23589,255,91,1,765,255,3,1,24486
64,32,256,23,1,12,1,3,1,6621,255,23589,510,23589,255,91,1,765,255,3,1,24486
64,32,256,23,1,12,1,3,1,6621,255,15429,510,15429,255,59,1,765,255,3,1,16294
64,32,256,23,1,12,1,3,1,6621,255,39909,510,39909,255,155,1,765,255,3,1,40870
64,32,256,23,1,12,1,3,1,6621,255,27159,510,27159,255,105,1,765,255,3,1,28070
64,32,256,23,1,12,1,3,1,6621,255,23079,510,23079,255,89,1,765,255,3,1,23974
64,32,256,23,1,12,1,3,1,6621,255,21549,510,21549,255,83,1,765,255,3,1,22438
64,32,256,23,1,12,1,3,1,6621,255,21549,510,21549,255,83,1,765,255,3,1,22438
64,32,256,23,1,12,1,3,1,6621,255,13389,510,13389,255,51,1,765,255,3,1,14246
64,32,256,23,1,12,1,3,1,6621,255,37869,510,37869,255,147,1,765,255,3,1,38822
64,32,256,23,1,12,1,3,1,6621,255,23079,510,23079,255,89,1,765,255,3,1,23974
64,32,128,12,1,6,1,3,1,7662,511,165183,1022,165183,511,321,1,1533,511,3,1,167061
