m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,2048,182,1,91,1,3,1,389070575,2097151,1373240692,4194302,1373240692,2097151,652,1,6291453,2097151,3,1,1379533076
64,32,2048,182,1,91,1,3,1,389070575,2097151,836370036,4194302,836370036,2097151,396,1,6291453,2097151,3,1,842662164
64,32,2048,182,1,91,1,3,1,389070575,2097151,572129010,4194302,572178159,2097151,270,1,6291453,2097151,3,1,578470161
64,32,2048,182,1,91,1,3,1,389070575,2097151,572129010,4194302,572178159,2097151,270,1,6291453,2097151,3,1,578470161
64,32,2048,182,1,91,1,3,1,389070575,2097151,505020178,4194302,505593583,2097151,238,1,6291453,2097151,3,1,511885553
64,32,2048,182,1,91,1,3,1,389070575,2097151,706346674,4194302,706346674,2097151,334,1,6291453,2097151,3,1,712638740
64,32,2048,182,1,91,1,3,1,389070575,2097151,836370036,4194302,836370036,2097151,396,1,6291453,2097151,3,1,842662164
64,32,2048,182,1,91,1,3,1,389070575,2097151,567934708,4194302,568016623,2097151,268,1,6291453,2097151,3,1,574308623
64,32,2048,182,1,91,1,3,1,389070575,2097151,437911346,4194302,439009007,2097151,206,1,6291453,2097151,3,1,445300945
64,32,2048,182,1,91,1,3,1,389070575,2097151,437911346,4194302,439009007,2097151,206,1,6291453,2097151,3,1,445300945
64,32,2048,182,1,91,1,3,1,389070575,2097151,370802514,4194302,389070575,2097151,174,1,6291453,2097151,3,1,395362481
64,32,2048,182,1,91,1,3,1,389070575,2097151,572129010,4194302,572178159,2097151,270,1,6291453,2097151,3,1,578470161
64,32,2048,182,1,91,1,3,1,389070575,2097151,567934708,4194302,568016623,2097151,268,1,6291453,2097151,3,1,574308623
64,32,4096,363,1,182,1,3,1,384875999,1048575,1221196662,2097150,1221196662,1048575,1162,1,3145725,1048575,3,1,1224344100
64,32,4096,363,1,182,1,3,1,384875999,1048575,769260837,2097150,769260837,1048575,731,1,3145725,1048575,3,1,772407844
64,32,4096,363,1,182,1,3,1,384875999,1048575,769260837,2097150,769260837,1048575,731,1,3145725,1048575,3,1,772407844
64,32,4096,363,1,182,1,3,1,384875999,1048575,735706437,2097150,735706437,1048575,699,1,3145725,1048575,3,1,738853412
64,32,4096,363,1,182,1,3,1,384875999,1048575,836369637,2097150,836369637,1048575,795,1,3145725,1048575,3,1,839516708
64,32,4096,363,1,182,1,3,1,384875999,1048575,1221196662,2097150,1221196662,1048575,1162,1,3145725,1048575,3,1,1224344100
64,32,4096,363,1,182,1,3,1,384875999,1048575,767163687,2097150,767163687,1048575,729,1,3145725,1048575,3,1,770310692
64,32,4096,363,1,182,1,3,1,384875999,1048575,500825637,2097150,501399007,1048575,475,1,3145725,1048575,3,1,504545758
64,32,4096,363,1,182,1,3,1,384875999,1048575,500825637,2097150,501399007,1048575,475,1,3145725,1048575,3,1,504545758
64,32,4096,363,1,182,1,3,1,384875999,1048575,467271237,2097150,468106719,1048575,443,1,3145725,1048575,3,1,471253438
64,32,4096,363,1,182,1,3,1,384875999,1048575,567934437,2097150,567983583,1048575,539,1,3145725,1048575,3,1,571130398
64,32,4096,363,1,182,1,3,1,384875999,1048575,767163687,2097150,767163687,1048575,729,1,3145725,1048575,3,1,770310692
64,32,4096,363,1,182,1,3,1,384875999,1048575,498728487,2097150,499318239,1048575,473,1,3145725,1048575,3,1,502464988
64,32,4096,363,1,182,1,3,1,384875999,1048575,366608037,2097150,384875999,1048575,347,1,3145725,1048575,3,1,388022622
64,32,4096,363,1,182,1,3,1,384875999,1048575,366608037,2097150,384875999,1048575,347,1,3145725,1048575,3,1,388022622
64,32,4096,363,1,182,1,3,1,384875999,1048575,333053637,2097150,384875999,1048575,315,1,3145725,1048575,3,1,388022590
64,32,4096,363,1,182,1,3,1,384875999,1048575,433716837,2097150,434814431,1048575,411,1,3145725,1048575,3,1,437961118
64,32,4096,363,1,182,1,3,1,384875999,1048575,498728487,2097150,499318239,1048575,473,1,3145725,1048575,3,1,502464988
64,32,8192,726,1,363,1,3,1,383298495,524287,690617053,1048574,690617053,524287,1315,1,1572861,524287,3,1,692192324
64,32,8192,726,1,363,1,3,1,383298495,524287,464649356,1048574,465488831,524287,884,1,1572861,524287,3,1,467063671
64,32,8192,726,1,363,1,3,1,383298495,524287,464649356,1048574,465488831,524287,884,1,1572861,524287,3,1,467063671
64,32,8192,726,1,363,1,3,1,383298495,524287,447872172,1048574,448842687,524287,852,1,1572861,524287,3,1,450417495
64,32,8192,726,1,363,1,3,1,383298495,524287,498203724,1048574,498781119,524287,948,1,1572861,524287,3,1,500356023
64,32,8192,726,1,363,1,3,1,383298495,524287,690617053,1048574,690617053,524287,1315,1,1572861,524287,3,1,692192324
64,32,8192,726,1,363,1,3,1,383298495,524287,463600782,1048574,464448447,524287,882,1,1572861,524287,3,1,466023285
64,32,8192,726,1,363,1,3,1,383298495,524287,330431884,1048574,383298495,524287,628,1,1572861,524287,3,1,384873079
